epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.360308225107193,0.9073272727272728,0.20002882041931153,0.94,0.001
2,0.1783036583347754,0.9487454545454546,0.1441498027920723,0.957,0.001
3,0.13782438585324722,0.9589818181818182,0.12439213839769363,0.9648,0.001
4,0.11321509064327587,0.9668909090909091,0.10624918465614319,0.9702,0.001
5,0.09775272038308057,0.9712181818181819,0.09889319720864297,0.971,0.001
6,0.08870683397379789,0.9732909090909091,0.09388556468188762,0.9732,0.001
7,0.07818195247866891,0.9765454545454545,0.08886856616139412,0.9728,0.001
8,0.07063384270776402,0.9779636363636364,0.08390263293981552,0.9752,0.001
9,0.06613337356610732,0.9791636363636363,0.0833186233624816,0.9754,0.001
10,0.06086255712725899,0.9808545454545454,0.08316162527352572,0.9758,0.001
11,0.05471899067055095,0.9835636363636364,0.08017580237388611,0.9766,0.001
12,0.05430694545182315,0.9832545454545455,0.075019634308666,0.9768,0.001
13,0.04988148778243499,0.984,0.08334983350634576,0.9746,0.001
14,0.046055167680436916,0.9851090909090909,0.08083294596523047,0.9758,0.001
15,0.04307191797007214,0.9857272727272727,0.08080919312238694,0.9768,0.001
16,0.04346604157469489,0.9855090909090909,0.08126031360775232,0.9752,0.001
17,0.04039662871089848,0.9866909090909091,0.077274661995098,0.9784,0.001
