epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.2701693104548888,0.9272181818181818,0.11350991989374161,0.9636,0.001
2,0.11693731785037301,0.9646727272727272,0.08540088447332382,0.9738,0.001
3,0.08596846278797496,0.972909090909091,0.07666660504639149,0.9756,0.001
4,0.07229752675728364,0.9772909090909091,0.07091369016170501,0.9762,0.001
5,0.06001933139833537,0.9807636363636364,0.07048798693940043,0.9774,0.001
6,0.05213903055082668,0.9837272727272727,0.06513003870197571,0.98,0.001
7,0.04445654760382392,0.9857090909090909,0.057558491590619085,0.9828,0.001
8,0.040380092312531035,0.9874545454545455,0.06125950251743197,0.9844,0.001
9,0.037971299437907606,0.9874181818181819,0.06351243168376386,0.9818,0.001
10,0.03468388460386883,0.9886363636363636,0.06091406140513718,0.9818,0.001
11,0.031914627224206925,0.9897636363636364,0.06581543952226639,0.982,0.001
12,0.02965068869103085,0.9904363636363637,0.06818184301555157,0.9798,0.001
