epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.22604527023922313,0.9346181818181818,0.10901224567890168,0.9658,0.001
2,0.09917133696946231,0.9690181818181818,0.0885843585267663,0.9728,0.001
3,0.07170892939350822,0.9775272727272727,0.07752388554811478,0.9736,0.001
4,0.05803570584817366,0.9812363636363637,0.07127467247359455,0.9768,0.001
5,0.04884573792598464,0.9839272727272728,0.06601913155447692,0.9778,0.001
6,0.04047859599861232,0.9866909090909091,0.060788803530856965,0.98,0.001
7,0.03447111371511763,0.9886181818181818,0.05847052197158337,0.98,0.001
8,0.03216443662507967,0.989,0.06266963103646413,0.9804,0.001
9,0.027898601958155633,0.9907090909090909,0.06530404036846012,0.982,0.001
10,0.026166913751038638,0.9912181818181818,0.06167026158920489,0.9804,0.001
11,0.02357030070911754,0.992,0.061104836075473574,0.981,0.001
12,0.02307145289101384,0.9921636363636364,0.064966748329252,0.9812,0.001
