epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.3455341754783284,0.9183818181818182,0.12341650027036667,0.9636,0.001
2,0.17204536141807383,0.9622363636363637,0.09563180000782012,0.9682,0.001
3,0.14567806151780216,0.9697636363636364,0.0833907141327858,0.9738,0.001
4,0.13390745624195446,0.9743636363636363,0.07907048686891795,0.975,0.001
5,0.12484268589453264,0.9779454545454546,0.07186779141426086,0.978,0.001
6,0.12090983753204346,0.9793818181818181,0.06584369472265243,0.9802,0.001
7,0.1145525907332247,0.9812,0.070745694924891,0.978,0.001
8,0.11219438064315103,0.9826545454545454,0.07475983739197255,0.977,0.001
9,0.11129271273396232,0.9832727272727273,0.07127464758194983,0.98,0.001
10,0.1082713023034009,0.9846727272727273,0.0716258965138346,0.9788,0.001
11,0.10776489978053352,0.9851818181818182,0.06941601108908653,0.9808,0.001
