epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.23703715851957147,0.9268363636363637,0.11064832618236542,0.9658,0.01
2,0.12139608429778706,0.9627818181818182,0.08842601442337036,0.9708,0.01
3,0.0950038005026904,0.9702909090909091,0.08505919136442244,0.9752,0.01
4,0.08604784889004448,0.9729818181818182,0.07358563711568714,0.9774,0.01
5,0.07027710897380655,0.9773090909090909,0.07918215872514993,0.9752,0.01
6,0.0666794328364459,0.9790181818181818,0.06553115629665554,0.9794,0.01
7,0.05836350510228764,0.9809454545454546,0.06732290642932057,0.9814,0.01
8,0.05375289059010419,0.9827272727272728,0.07559870122787543,0.9774,0.01
9,0.05407227924520319,0.9831636363636364,0.07029042518269271,0.9792,0.01
10,0.04722428126335144,0.9847272727272727,0.06952908631563187,0.9798,0.01
11,0.04578428978134285,0.9850727272727273,0.07374077550955117,0.9802,0.01
