epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30233345836292613,0.9188181818181819,0.12257848753929138,0.9642,0.001
2,0.1233817039175467,0.9630181818181818,0.0939865043759346,0.9712,0.001
3,0.09463688894293525,0.9705818181818182,0.07968524246811867,0.9752,0.001
4,0.07771820797703483,0.9758363636363636,0.07776176417693496,0.9754,0.001
5,0.06541053805351257,0.9795272727272727,0.07338519578948617,0.9768,0.001
6,0.058605555841055784,0.9812727272727273,0.06376128833293915,0.9792,0.001
7,0.04981439917575229,0.9842363636363637,0.07289774726424367,0.9786,0.001
8,0.0452783372158354,0.9851454545454545,0.06857507357001305,0.9786,0.001
9,0.042720221669023686,0.9859272727272728,0.06645752924978733,0.9806,0.001
10,0.039007289986718784,0.9870909090909091,0.07019850907586515,0.9794,0.001
11,0.0362648940465667,0.9880545454545454,0.06452319567203521,0.9812,0.001
12,0.032910250274701555,0.9890545454545454,0.06544326285123825,0.9808,0.001
13,0.03050658800331029,0.9899272727272728,0.06438658670708537,0.9808,0.001
14,0.029189758744971317,0.9898363636363636,0.07175615639723837,0.9804,0.001
15,0.02615399788333611,0.9911090909090909,0.07042873051166534,0.9804,0.001
16,0.026606300937587566,0.9907272727272727,0.06369492161963135,0.9816,0.001
17,0.026804432587461038,0.9906727272727273,0.07072601870894432,0.9788,0.001
18,0.025455902788584884,0.9912,0.06264174484610557,0.9836,0.001
19,0.021906195701083,0.9924363636363637,0.0685598222732544,0.9808,0.001
20,0.02055208128704266,0.9926909090909091,0.07239192091822624,0.9806,0.001
