epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.30233345836292613,0.9188181818181819,0.12257848753929138,0.9642,0.001
2,0.1233817039175467,0.9630181818181818,0.0939865043759346,0.9712,0.001
3,0.09463688894293525,0.9705818181818182,0.07968524246811867,0.9752,0.001
4,0.07771820797703483,0.9758363636363636,0.07776176417693496,0.9754,0.001
5,0.06541053805351257,0.9795272727272727,0.07338519578948617,0.9768,0.001
6,0.058605555841055784,0.9812727272727273,0.06376128833293915,0.9792,0.001
7,0.04981439917575229,0.9842363636363637,0.07289774726424367,0.9786,0.001
8,0.0452783372158354,0.9851454545454545,0.06857507357001305,0.9786,0.001
9,0.042720221669023686,0.9859272727272728,0.06645752924978733,0.9806,0.0005
10,0.030311291284994647,0.9901818181818182,0.05989878006353974,0.982,0.0005
11,0.025672188265486198,0.9916181818181818,0.059959143589437006,0.9828,0.0005
12,0.023225810492580587,0.9924363636363637,0.057786613780260086,0.9828,0.0005
13,0.02148591137067838,0.9929454545454546,0.05742242611851543,0.9832,0.0005
14,0.01990386447630484,0.9932545454545455,0.06283239283747971,0.9832,0.0005
15,0.01867278440086679,0.9938727272727272,0.062291820057481524,0.9824,0.0005
16,0.020016014846075667,0.9932181818181818,0.062355296677351,0.9822,0.00025
17,0.015612013135003773,0.9950181818181818,0.06199925266653299,0.982,0.00025
18,0.014607473968646744,0.9954727272727273,0.05738349048309028,0.9832,0.00025
19,0.012606687199747698,0.9957818181818182,0.06065064468793571,0.982,0.00025
20,0.011660712848806922,0.9963272727272727,0.06051288458742202,0.9826,0.00025
